probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,base_probe_row,similarity_drop_from_clean
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.57521546,0.57521546,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,16,0.08891010284423828
14,Roger Moore,76,76,Roger Moore,0.5956485,0.5956485,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,17,-0.016425669193267822
15,Roger Moore,76,76,Roger Moore,0.56308067,0.56308067,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,18,0.0035370588302612305
16,Roger Moore,76,76,Roger Moore,0.3796181,0.3796181,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,19,-0.020948857069015503
17,Roger Moore,76,76,Roger Moore,0.5546613,0.5546613,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,20,0.028353214263916016
18,Edmund Stoiber,21,21,Edmund Stoiber,0.33233193,0.33233193,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,21,-0.019030123949050903
19,Edmund Stoiber,21,21,Edmund Stoiber,0.4651664,0.4651664,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,22,0.02191329002380371
20,Edmund Stoiber,21,21,Edmund Stoiber,0.4459006,0.4459006,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,23,-0.00450405478477478
21,Edmund Stoiber,21,37,Joe Lieberman,0.4184581,0.37311405,False,True,False,False,True,True,adaface_ir50_wf4m,normal_mascot_sticker,24,-0.03830438852310181
22,Edmund Stoiber,21,21,Edmund Stoiber,0.4539976,0.4539976,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,25,0.00519716739654541
23,Edmund Stoiber,21,21,Edmund Stoiber,0.34269828,0.34269828,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,28,-0.0067566633224487305
24,Carmen Electra,12,12,Carmen Electra,0.44005558,0.44005558,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,29,0.004624813795089722
25,Carmen Electra,12,12,Carmen Electra,0.5544317,0.5544317,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,30,0.10462021827697754
26,Carmen Electra,12,12,Carmen Electra,0.49693206,0.49693206,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,31,0.04749777913093567
27,Carmen Electra,12,12,Carmen Electra,0.65767974,0.65767974,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,32,-0.02735990285873413
28,Carmen Electra,12,12,Carmen Electra,0.6363803,0.6363803,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,33,0.016492784023284912
29,Tung Chee-hwa,92,92,Tung Chee-hwa,0.43830982,0.43830982,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,34,-0.01095154881477356
30,Tung Chee-hwa,92,92,Tung Chee-hwa,0.574293,0.574293,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,35,-0.005376756191253662
31,Tung Chee-hwa,92,92,Tung Chee-hwa,0.5258782,0.5258782,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,36,0.039041996002197266
32,Tung Chee-hwa,92,92,Tung Chee-hwa,0.66042495,0.66042495,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,37,0.03519904613494873
33,Tung Chee-hwa,92,92,Tung Chee-hwa,0.5311447,0.5311447,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,38,0.015538454055786133
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.36687922,0.36687922,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,39,-0.024604976177215576
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.44545364,0.44545364,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,41,0.0421181321144104
36,Woody Allen,96,96,Woody Allen,0.46980703,0.46980703,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,42,0.09110724925994873
37,Woody Allen,96,96,Woody Allen,0.45695722,0.45695722,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,43,0.03309875726699829
38,Woody Allen,96,96,Woody Allen,0.23878075,0.23878075,True,False,False,True,False,False,adaface_ir50_wf4m,normal_mascot_sticker,45,0.03686811029911041
39,Kim Dae-jung,46,46,Kim Dae-jung,0.44715345,0.44715345,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,46,0.016210705041885376
40,Kim Dae-jung,46,46,Kim Dae-jung,0.43966877,0.43966877,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,47,0.005127042531967163
41,Kim Dae-jung,46,46,Kim Dae-jung,0.53758794,0.53758794,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,48,0.00157088041305542
42,Kim Dae-jung,46,46,Kim Dae-jung,0.50600415,0.50600415,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,49,0.05701357126235962
43,Kim Dae-jung,46,46,Kim Dae-jung,0.45167047,0.45167047,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,50,0.014467298984527588
44,Kim Dae-jung,46,46,Kim Dae-jung,0.34040865,0.34040865,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,51,-0.01288256049156189
45,Kim Dae-jung,46,46,Kim Dae-jung,0.44370443,0.44370443,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,52,0.0373043417930603
46,Lleyton Hewitt,51,51,Lleyton Hewitt,0.47849655,0.47849655,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,53,-0.03636348247528076
47,Lleyton Hewitt,51,51,Lleyton Hewitt,0.31231022,0.31231022,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,54,0.08492481708526611
48,Lleyton Hewitt,51,51,Lleyton Hewitt,0.5032805,0.5032805,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,55,0.06257623434066772
49,Lleyton Hewitt,51,51,Lleyton Hewitt,0.44998544,0.44998544,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,56,0.05715477466583252
50,Lleyton Hewitt,51,46,Kim Dae-jung,0.25819823,0.25656557,False,False,False,True,True,False,adaface_ir50_wf4m,normal_mascot_sticker,57,0.07211315631866455
51,Lleyton Hewitt,51,51,Lleyton Hewitt,0.5410609,0.5410609,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,58,0.05461937189102173
52,Lleyton Hewitt,51,51,Lleyton Hewitt,0.43775705,0.43775705,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,59,0.010732084512710571
53,Lleyton Hewitt,51,51,Lleyton Hewitt,0.42063522,0.42063522,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,60,0.005476057529449463
54,Ben Affleck,4,4,Ben Affleck,0.52821565,0.52821565,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,63,-0.012951016426086426
55,Ben Affleck,4,4,Ben Affleck,0.5299933,0.5299933,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,64,0.04580080509185791
56,Ben Affleck,4,4,Ben Affleck,0.3655727,0.3655727,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,66,0.005407482385635376
57,Jeremy Greenstock,35,35,Jeremy Greenstock,0.6372169,0.6372169,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,67,0.03615140914916992
58,Jeremy Greenstock,35,35,Jeremy Greenstock,0.37301773,0.37301773,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,68,0.007282137870788574
59,Jeremy Greenstock,35,35,Jeremy Greenstock,0.67584383,0.67584383,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,69,0.012297511100769043
60,Jeremy Greenstock,35,35,Jeremy Greenstock,0.4239453,0.4239453,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,70,-0.030124574899673462
61,Jeremy Greenstock,35,35,Jeremy Greenstock,0.47286385,0.47286385,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,71,0.008752763271331787
62,Jeremy Greenstock,35,35,Jeremy Greenstock,0.458781,0.458781,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,72,0.05300945043563843
63,Jeremy Greenstock,35,35,Jeremy Greenstock,0.37139022,0.37139022,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,73,0.1107916533946991
64,David Anderson,19,19,David Anderson,0.30120388,0.30120388,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,75,0.007706314325332642
65,David Anderson,19,19,David Anderson,0.3462273,0.3462273,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,76,0.0009086430072784424
66,David Anderson,19,19,David Anderson,0.3510229,0.3510229,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,77,0.03908824920654297
67,John Stockton,39,39,John Stockton,0.3195409,0.3195409,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,80,0.031119316816329956
68,Zhu Rongji,99,99,Zhu Rongji,0.46096656,0.46096656,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,83,-0.012378841638565063
69,Zhu Rongji,99,99,Zhu Rongji,0.6371921,0.6371921,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,84,0.036877989768981934
70,Zhu Rongji,99,99,Zhu Rongji,0.506297,0.506297,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,85,0.009189128875732422
71,Zhu Rongji,99,99,Zhu Rongji,0.55089104,0.55089104,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,86,0.03883767127990723
72,Zhu Rongji,99,99,Zhu Rongji,0.45899174,0.45899174,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,87,-0.0016805529594421387
73,Zhu Rongji,99,99,Zhu Rongji,0.5493878,0.5493878,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,88,-0.03094172477722168
74,Zhu Rongji,99,99,Zhu Rongji,0.6045189,0.6045189,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,89,0.014031648635864258
75,Zhu Rongji,99,99,Zhu Rongji,0.60169494,0.60169494,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,90,0.025137901306152344
76,Mahmoud Abbas,53,53,Mahmoud Abbas,0.4515636,0.4515636,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,91,0.02372562885284424
77,Mahmoud Abbas,53,53,Mahmoud Abbas,0.37768555,0.37768555,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,92,0.0442470908164978
78,Mahmoud Abbas,53,53,Mahmoud Abbas,0.43706074,0.43706074,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,93,0.007598459720611572
79,Mahmoud Abbas,53,53,Mahmoud Abbas,0.33750463,0.33750463,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,94,0.05178654193878174
80,Mahmoud Abbas,53,53,Mahmoud Abbas,0.44768643,0.44768643,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,95,0.010427117347717285
81,Mahmoud Abbas,53,78,Rubens Barrichello,0.28206187,0.27389228,False,True,False,False,True,True,adaface_ir50_wf4m,normal_mascot_sticker,96,0.027807116508483887
82,Mahmoud Abbas,53,53,Mahmoud Abbas,0.5152449,0.5152449,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,97,0.010620355606079102
83,Mahmoud Abbas,53,53,Mahmoud Abbas,0.55417573,0.55417573,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,98,0.059032320976257324
84,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.3567015,0.3567015,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,100,-0.04058980941772461
85,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.3824474,0.3824474,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,101,0.022921651601791382
86,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.33112782,0.33112782,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,103,-0.04938843846321106
87,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.437815,0.437815,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,104,0.01183214783668518
88,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.26879397,0.26879397,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,105,0.01888945698738098
89,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.47241396,0.47241396,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,106,-0.0266648530960083
90,Steven Spielberg,84,84,Steven Spielberg,0.6246644,0.6246644,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,107,0.08763384819030762
91,Steven Spielberg,84,84,Steven Spielberg,0.3956926,0.3956926,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,109,0.06924605369567871
92,Steven Spielberg,84,84,Steven Spielberg,0.73237747,0.73237747,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,110,0.049996793270111084
93,Steven Spielberg,84,84,Steven Spielberg,0.38272342,0.38272342,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,112,0.036021798849105835
94,Norm Coleman,63,63,Norm Coleman,0.40889287,0.40889287,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,113,0.046484410762786865
95,Norm Coleman,63,63,Norm Coleman,0.39363325,0.39363325,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,114,-0.034639447927474976
96,Norm Coleman,63,63,Norm Coleman,0.41147226,0.41147226,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,115,0.12012511491775513
97,Norm Coleman,63,63,Norm Coleman,0.3622312,0.3622312,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,116,0.008892685174942017
98,Norm Coleman,63,63,Norm Coleman,0.40028518,0.40028518,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,117,0.016933321952819824
99,Norm Coleman,63,63,Norm Coleman,0.39397663,0.39397663,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,118,0.04519236087799072
100,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.5052856,0.5052856,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,119,0.03318268060684204
101,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.52023196,0.52023196,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,120,0.024244308471679688
102,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.3886336,0.3886336,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,121,0.031188249588012695
103,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.4718366,0.4718366,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,122,0.09104844927787781
104,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.3606296,0.3606296,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,123,0.08744677901268005
105,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.42332447,0.42332447,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,126,0.09653621912002563
106,Robert Blake,74,74,Robert Blake,0.6110395,0.6110395,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,127,0.050099194049835205
107,Robert Blake,74,74,Robert Blake,0.33659002,0.33659002,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,128,0.014362066984176636
108,Robert Blake,74,74,Robert Blake,0.28103602,0.28103602,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,129,0.03190627694129944
109,Robert Blake,74,64,Paul Martin,0.26012963,0.2542084,False,False,False,True,True,False,adaface_ir50_wf4m,normal_mascot_sticker,130,0.08226394653320312
110,Robert Blake,74,64,Paul Martin,0.27457157,0.27407938,False,True,False,False,True,True,adaface_ir50_wf4m,normal_mascot_sticker,131,0.05803614854812622
111,Robert Blake,74,64,Paul Martin,0.3292705,0.21519312,False,True,False,False,True,True,adaface_ir50_wf4m,normal_mascot_sticker,132,0.06837576627731323
112,Robert Blake,74,74,Robert Blake,0.4611578,0.4611578,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,133,0.0461764931678772
113,Queen Elizabeth II,69,69,Queen Elizabeth II,0.4224719,0.4224719,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,134,0.056021541357040405
114,Queen Elizabeth II,69,69,Queen Elizabeth II,0.41234422,0.41234422,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,135,-0.017536014318466187
115,Queen Elizabeth II,69,69,Queen Elizabeth II,0.44312543,0.44312543,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,136,0.008110970258712769
116,Queen Elizabeth II,69,69,Queen Elizabeth II,0.38847253,0.38847253,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,138,0.015470504760742188
117,Queen Elizabeth II,69,69,Queen Elizabeth II,0.3450625,0.3450625,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,140,9.870529174804688e-05
118,Queen Elizabeth II,69,69,Queen Elizabeth II,0.40796697,0.40796697,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,141,0.06768825650215149
119,Martha Stewart,55,55,Martha Stewart,0.5281822,0.5281822,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,142,0.06412476301193237
120,Martha Stewart,55,55,Martha Stewart,0.50764394,0.50764394,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,143,-0.0348052978515625
121,Martha Stewart,55,55,Martha Stewart,0.53571105,0.53571105,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,144,0.006984710693359375
122,Martha Stewart,55,55,Martha Stewart,0.31624088,0.31624088,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,145,0.024948716163635254
123,Robert Kocharian,75,75,Robert Kocharian,0.57293856,0.57293856,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,146,0.03142905235290527
124,Robert Kocharian,75,75,Robert Kocharian,0.57412446,0.57412446,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,147,0.02360910177230835
125,Robert Kocharian,75,75,Robert Kocharian,0.29840076,0.29840076,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,148,0.08132952451705933
126,Robert Kocharian,75,75,Robert Kocharian,0.46286306,0.46286306,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,149,-0.011266380548477173
127,Scott Peterson,80,80,Scott Peterson,0.4190104,0.4190104,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,150,0.04384616017341614
128,Scott Peterson,80,80,Scott Peterson,0.2471382,0.2471382,True,False,False,True,False,False,adaface_ir50_wf4m,normal_mascot_sticker,151,0.018840670585632324
129,Scott Peterson,80,80,Scott Peterson,0.3613621,0.3613621,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,152,0.07008343935012817
130,Scott Peterson,80,80,Scott Peterson,0.45093843,0.45093843,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,153,0.050571173429489136
131,Ray Romano,70,70,Ray Romano,0.57654417,0.57654417,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,154,-0.007709622383117676
132,Ray Romano,70,70,Ray Romano,0.5737934,0.5737934,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,155,0.04005163908004761
133,Ray Romano,70,70,Ray Romano,0.56855,0.56855,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,156,0.001410365104675293
134,Ray Romano,70,70,Ray Romano,0.5833492,0.5833492,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,157,-0.0017199516296386719
135,Ray Romano,70,70,Ray Romano,0.53612036,0.53612036,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,158,0.017871201038360596
136,Ray Romano,70,70,Ray Romano,0.41165984,0.41165984,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,159,0.023708343505859375
137,Ray Romano,70,70,Ray Romano,0.46351075,0.46351075,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,160,0.00931549072265625
138,Ray Romano,70,70,Ray Romano,0.6590365,0.6590365,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,161,0.019788146018981934
139,Mark Hurlbert,54,54,Mark Hurlbert,0.5354117,0.5354117,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,162,0.03447753190994263
140,Mark Hurlbert,54,54,Mark Hurlbert,0.42305696,0.42305696,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,163,-0.018225550651550293
141,Mark Hurlbert,54,54,Mark Hurlbert,0.5213226,0.5213226,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,164,-0.02149033546447754
142,Mark Hurlbert,54,54,Mark Hurlbert,0.5352781,0.5352781,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,165,0.08316338062286377
143,Silvan Shalom,82,82,Silvan Shalom,0.3285588,0.3285588,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,166,0.01776084303855896
144,Silvan Shalom,82,82,Silvan Shalom,0.35028142,0.35028142,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,167,-0.00415492057800293
145,Silvan Shalom,82,82,Silvan Shalom,0.26894373,0.26894373,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,169,0.01674896478652954
146,Silvan Shalom,82,82,Silvan Shalom,0.6013226,0.6013226,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,170,0.07543289661407471
147,Britney Spears,9,9,Britney Spears,0.32715738,0.32715738,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,172,0.04450547695159912
148,Britney Spears,9,9,Britney Spears,0.33924484,0.33924484,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,173,0.03158080577850342
149,Britney Spears,9,9,Britney Spears,0.37925252,0.37925252,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,174,-0.033601194620132446
150,Britney Spears,9,9,Britney Spears,0.33275154,0.33275154,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,175,0.0075276196002960205
151,Britney Spears,9,62,Norah Jones,0.29026425,0.2870273,False,True,False,False,True,True,adaface_ir50_wf4m,normal_mascot_sticker,176,0.013144433498382568
152,Britney Spears,9,9,Britney Spears,0.40154707,0.40154707,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,177,-0.011962532997131348
153,Britney Spears,9,9,Britney Spears,0.4663604,0.4663604,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,178,-0.021709799766540527
154,Gunter Pleuger,26,26,Gunter Pleuger,0.3547107,0.3547107,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,179,0.04868912696838379
155,Gunter Pleuger,26,26,Gunter Pleuger,0.40520054,0.40520054,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,180,0.0020855963230133057
156,Gunter Pleuger,26,26,Gunter Pleuger,0.38361877,0.38361877,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,181,0.05779200792312622
157,Gunter Pleuger,26,26,Gunter Pleuger,0.520609,0.520609,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,182,0.05594456195831299
158,Gunter Pleuger,26,26,Gunter Pleuger,0.4350472,0.4350472,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,183,0.039323508739471436
159,Gunter Pleuger,26,26,Gunter Pleuger,0.35568383,0.35568383,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,184,0.01573088765144348
160,Tom Daschle,89,89,Tom Daschle,0.5617795,0.5617795,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,185,-0.0687827467918396
161,Tom Daschle,89,89,Tom Daschle,0.42948967,0.42948967,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,186,0.027341783046722412
162,Tom Daschle,89,89,Tom Daschle,0.6308082,0.6308082,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,187,0.016230225563049316
163,Tom Daschle,89,89,Tom Daschle,0.5405929,0.5405929,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,188,-0.008532524108886719
