probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_name,model_short_name
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49801695,0.49801695,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6144304,0.6144304,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5926132,0.5926132,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.71261346,0.71261346,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
17,Roger Moore,76,76,Roger Moore,0.5845741,0.5845741,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
18,Roger Moore,76,76,Roger Moore,0.5419115,0.5419115,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
19,Roger Moore,76,76,Roger Moore,0.48348945,0.48348945,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
20,Roger Moore,76,76,Roger Moore,0.5777082,0.5777082,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
21,Edmund Stoiber,21,21,Edmund Stoiber,0.37720728,0.37720728,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
22,Edmund Stoiber,21,21,Edmund Stoiber,0.40383634,0.40383634,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
23,Edmund Stoiber,21,21,Edmund Stoiber,0.48075494,0.48075494,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
24,Edmund Stoiber,21,21,Edmund Stoiber,0.39527333,0.39527333,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
25,Edmund Stoiber,21,21,Edmund Stoiber,0.48762733,0.48762733,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
26,Edmund Stoiber,21,21,Edmund Stoiber,0.36203182,0.36203182,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
27,Edmund Stoiber,21,21,Edmund Stoiber,0.1921684,0.1921684,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
28,Edmund Stoiber,21,21,Edmund Stoiber,0.2863258,0.2863258,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
29,Carmen Electra,12,12,Carmen Electra,0.37822634,0.37822634,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
30,Carmen Electra,12,12,Carmen Electra,0.6438481,0.6438481,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
31,Carmen Electra,12,12,Carmen Electra,0.5347548,0.5347548,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
32,Carmen Electra,12,12,Carmen Electra,0.5351709,0.5351709,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
33,Carmen Electra,12,12,Carmen Electra,0.6942105,0.6942105,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4169848,0.4169848,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.6056639,0.6056639,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.51912993,0.51912993,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.63586366,0.63586366,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4875706,0.4875706,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
39,Tung Chee-hwa,92,92,Tung Chee-hwa,0.46883237,0.46883237,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
40,Tung Chee-hwa,92,92,Tung Chee-hwa,0.33133054,0.33133054,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
41,Tung Chee-hwa,92,92,Tung Chee-hwa,0.47679138,0.47679138,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
42,Woody Allen,96,96,Woody Allen,0.6459838,0.6459838,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
43,Woody Allen,96,96,Woody Allen,0.59814364,0.59814364,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
44,Woody Allen,96,96,Woody Allen,0.31524628,0.31524628,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
45,Woody Allen,96,96,Woody Allen,0.37742928,0.37742928,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
46,Kim Dae-jung,46,46,Kim Dae-jung,0.6080634,0.6080634,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
47,Kim Dae-jung,46,46,Kim Dae-jung,0.37456504,0.37456504,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
48,Kim Dae-jung,46,46,Kim Dae-jung,0.63694954,0.63694954,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
49,Kim Dae-jung,46,46,Kim Dae-jung,0.5620239,0.5620239,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
50,Kim Dae-jung,46,46,Kim Dae-jung,0.5599178,0.5599178,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
51,Kim Dae-jung,46,46,Kim Dae-jung,0.44811296,0.44811296,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
52,Kim Dae-jung,46,46,Kim Dae-jung,0.47235128,0.47235128,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
53,Lleyton Hewitt,51,51,Lleyton Hewitt,0.43282354,0.43282354,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
54,Lleyton Hewitt,51,51,Lleyton Hewitt,0.47839254,0.47839254,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
55,Lleyton Hewitt,51,51,Lleyton Hewitt,0.469731,0.469731,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
56,Lleyton Hewitt,51,51,Lleyton Hewitt,0.55943173,0.55943173,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
57,Lleyton Hewitt,51,51,Lleyton Hewitt,0.33207065,0.33207065,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
58,Lleyton Hewitt,51,51,Lleyton Hewitt,0.647011,0.647011,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
59,Lleyton Hewitt,51,51,Lleyton Hewitt,0.4450133,0.4450133,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
60,Lleyton Hewitt,51,51,Lleyton Hewitt,0.39181983,0.39181983,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
61,Ben Affleck,4,4,Ben Affleck,0.3998745,0.3998745,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
62,Ben Affleck,4,4,Ben Affleck,0.30148116,0.30148116,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
63,Ben Affleck,4,4,Ben Affleck,0.49259877,0.49259877,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
64,Ben Affleck,4,4,Ben Affleck,0.47134602,0.47134602,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
65,Ben Affleck,4,4,Ben Affleck,0.30519372,0.30519372,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
66,Ben Affleck,4,4,Ben Affleck,0.48946607,0.48946607,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
67,Jeremy Greenstock,35,35,Jeremy Greenstock,0.6807097,0.6807097,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
68,Jeremy Greenstock,35,35,Jeremy Greenstock,0.46502408,0.46502408,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
69,Jeremy Greenstock,35,35,Jeremy Greenstock,0.7490468,0.7490468,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
70,Jeremy Greenstock,35,35,Jeremy Greenstock,0.56454486,0.56454486,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
71,Jeremy Greenstock,35,35,Jeremy Greenstock,0.45948392,0.45948392,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
72,Jeremy Greenstock,35,35,Jeremy Greenstock,0.5811166,0.5811166,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
73,Jeremy Greenstock,35,35,Jeremy Greenstock,0.45481375,0.45481375,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
74,Jeremy Greenstock,35,35,Jeremy Greenstock,0.31376785,0.31376785,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
75,David Anderson,19,19,David Anderson,0.36762127,0.36762127,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
76,David Anderson,19,19,David Anderson,0.36777967,0.36777967,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
77,David Anderson,19,19,David Anderson,0.4064232,0.4064232,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
78,David Anderson,19,19,David Anderson,0.31287742,0.31287742,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
79,John Stockton,39,39,John Stockton,0.18893568,0.18893568,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
80,John Stockton,39,39,John Stockton,0.25222728,0.25222728,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
81,John Stockton,39,35,Jeremy Greenstock,0.19077596,0.14674449,False,True,False,False,True,True,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
82,John Stockton,39,65,Paul Wolfowitz,0.22709231,0.22664174,False,True,False,False,True,True,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
83,Zhu Rongji,99,99,Zhu Rongji,0.3674433,0.3674433,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
84,Zhu Rongji,99,99,Zhu Rongji,0.78001,0.78001,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
85,Zhu Rongji,99,99,Zhu Rongji,0.5271786,0.5271786,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
86,Zhu Rongji,99,99,Zhu Rongji,0.6653454,0.6653454,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
87,Zhu Rongji,99,99,Zhu Rongji,0.5667747,0.5667747,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
88,Zhu Rongji,99,99,Zhu Rongji,0.52264994,0.52264994,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
89,Zhu Rongji,99,99,Zhu Rongji,0.706727,0.706727,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
90,Zhu Rongji,99,99,Zhu Rongji,0.6825235,0.6825235,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
91,Mahmoud Abbas,53,53,Mahmoud Abbas,0.536783,0.536783,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
92,Mahmoud Abbas,53,53,Mahmoud Abbas,0.49955815,0.49955815,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
93,Mahmoud Abbas,53,53,Mahmoud Abbas,0.4202004,0.4202004,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
94,Mahmoud Abbas,53,53,Mahmoud Abbas,0.5161946,0.5161946,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
95,Mahmoud Abbas,53,53,Mahmoud Abbas,0.5296216,0.5296216,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
96,Mahmoud Abbas,53,53,Mahmoud Abbas,0.45164308,0.45164308,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
97,Mahmoud Abbas,53,53,Mahmoud Abbas,0.56666505,0.56666505,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
98,Mahmoud Abbas,53,53,Mahmoud Abbas,0.691134,0.691134,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
99,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.19970581,0.19970581,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
100,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.34369344,0.34369344,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
101,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.36391535,0.36391535,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
102,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.39147598,0.39147598,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
103,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.3384741,0.3384741,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
104,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.5052708,0.5052708,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
105,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.33882356,0.33882356,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
106,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.41095245,0.41095245,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
107,Steven Spielberg,84,84,Steven Spielberg,0.6640518,0.6640518,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
108,Steven Spielberg,84,11,Carla Del Ponte,0.15566021,0.05157349,False,False,False,True,True,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
109,Steven Spielberg,84,84,Steven Spielberg,0.4525563,0.4525563,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
110,Steven Spielberg,84,84,Steven Spielberg,0.6901102,0.6901102,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
111,Steven Spielberg,84,28,Holly Hunter,0.17941228,0.14155215,False,True,False,False,True,True,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
112,Steven Spielberg,84,84,Steven Spielberg,0.459916,0.459916,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
113,Norm Coleman,63,63,Norm Coleman,0.40889633,0.40889633,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
114,Norm Coleman,63,63,Norm Coleman,0.35446072,0.35446072,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
115,Norm Coleman,63,63,Norm Coleman,0.5811602,0.5811602,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
116,Norm Coleman,63,63,Norm Coleman,0.4345476,0.4345476,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
117,Norm Coleman,63,63,Norm Coleman,0.40813828,0.40813828,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
118,Norm Coleman,63,63,Norm Coleman,0.4326399,0.4326399,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
119,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.42816296,0.42816296,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
120,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.5680304,0.5680304,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
121,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.43131548,0.43131548,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
122,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.49875027,0.49875027,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
123,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.44909155,0.44909155,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
124,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.2923054,0.2923054,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
125,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.4019281,0.4019281,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
126,Catherine Zeta-Jones,13,13,Catherine Zeta-Jones,0.56547797,0.56547797,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
127,Robert Blake,74,74,Robert Blake,0.7292088,0.7292088,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
128,Robert Blake,74,74,Robert Blake,0.48889154,0.48889154,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
129,Robert Blake,74,74,Robert Blake,0.40260434,0.40260434,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
130,Robert Blake,74,74,Robert Blake,0.3980475,0.3980475,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
131,Robert Blake,74,74,Robert Blake,0.36083713,0.36083713,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
132,Robert Blake,74,74,Robert Blake,0.3960539,0.3960539,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
133,Robert Blake,74,74,Robert Blake,0.6265942,0.6265942,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
134,Queen Elizabeth II,69,69,Queen Elizabeth II,0.4377337,0.4377337,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
135,Queen Elizabeth II,69,69,Queen Elizabeth II,0.34996238,0.34996238,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
136,Queen Elizabeth II,69,69,Queen Elizabeth II,0.34314725,0.34314725,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
137,Queen Elizabeth II,69,69,Queen Elizabeth II,0.45575258,0.45575258,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
138,Queen Elizabeth II,69,69,Queen Elizabeth II,0.3042484,0.3042484,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
139,Queen Elizabeth II,69,69,Queen Elizabeth II,0.3103242,0.3103242,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
140,Queen Elizabeth II,69,69,Queen Elizabeth II,0.40352324,0.40352324,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
141,Queen Elizabeth II,69,69,Queen Elizabeth II,0.51309705,0.51309705,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
142,Martha Stewart,55,55,Martha Stewart,0.5987399,0.5987399,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
143,Martha Stewart,55,55,Martha Stewart,0.5372251,0.5372251,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
144,Martha Stewart,55,55,Martha Stewart,0.5513979,0.5513979,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
145,Martha Stewart,55,55,Martha Stewart,0.33303452,0.33303452,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
146,Robert Kocharian,75,75,Robert Kocharian,0.648319,0.648319,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
147,Robert Kocharian,75,75,Robert Kocharian,0.68757606,0.68757606,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
148,Robert Kocharian,75,75,Robert Kocharian,0.61395276,0.61395276,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
149,Robert Kocharian,75,75,Robert Kocharian,0.45234495,0.45234495,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
150,Scott Peterson,80,80,Scott Peterson,0.51789796,0.51789796,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
151,Scott Peterson,80,80,Scott Peterson,0.44676518,0.44676518,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
152,Scott Peterson,80,80,Scott Peterson,0.4621346,0.4621346,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
153,Scott Peterson,80,80,Scott Peterson,0.52382183,0.52382183,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
154,Ray Romano,70,70,Ray Romano,0.5684729,0.5684729,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
155,Ray Romano,70,70,Ray Romano,0.55822384,0.55822384,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
156,Ray Romano,70,70,Ray Romano,0.5984855,0.5984855,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
157,Ray Romano,70,70,Ray Romano,0.5348384,0.5348384,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
158,Ray Romano,70,70,Ray Romano,0.5299126,0.5299126,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
159,Ray Romano,70,70,Ray Romano,0.4448339,0.4448339,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
160,Ray Romano,70,70,Ray Romano,0.42039412,0.42039412,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
161,Ray Romano,70,70,Ray Romano,0.63046134,0.63046134,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
162,Mark Hurlbert,54,54,Mark Hurlbert,0.5333643,0.5333643,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
163,Mark Hurlbert,54,54,Mark Hurlbert,0.3729723,0.3729723,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
